fecha,jornada,equipo_local,equipo_visitante,goles_local,goles_visitante
,1,Ituzaingó,Deportivo Armenio,0,1
,1,Villa San Carlos,Liniers,0,1
,1,San Martín Burzaco,Real Pilar,1,2
,1,Camioneros,Villa Dalmine,0,2
,1,Flandria,Brown de Adrogué,3,1
,1,Sportivo Dock Sud,Arsenal de Sarandí,1,1
,1,Defensores Unidos,Talleres RE,0,0
,1,Argentino Quilmes,Deportivo Laferrere,1,1
,1,Sportivo Italiano,UAI Urquiza,0,0
,1,Deportivo Merlo,Excursionistas,1,2
,1,Comunicaciones,Argentino Merlo,1,0
,2,Excursionistas,Sportivo Dock Sud,1,0
,2,Arsenal de Sarandí,Comunicaciones,2,0
,2,Argentino Merlo,Defensores Unidos,1,0
,2,Deportivo Laferrere,Flandria,3,2
,2,Real Pilar,Sportivo Italiano,1,2
,2,Talleres RE,Argentino Quilmes,1,0
,2,Villa Dalmine,Deportivo Merlo,0,1
,2,Villa San Carlos,Ituzaingó,3,1
,2,Liniers,San Martín Burzaco,0,0
,2,Brown de Adrogué,Deportivo Armenio,0,0
,2,UAI Urquiza,Camioneros,0,0
,3,Argentino Quilmes,Argentino Merlo,0,1
,3,Defensores Unidos,Arsenal de Sarandí,1,1
,3,Sportivo Dock Sud,Villa Dalmine,0,1
,3,Sportivo Italiano,Liniers,2,1
,3,Ituzaingó,Brown de Adrogué,1,1
,3,Deportivo Merlo,UAI Urquiza,0,0
,3,San Martín Burzaco,Villa San Carlos,3,3
,3,Deportivo Armenio,Deportivo Laferrere,1,2
,3,Flandria,Talleres RE,1,0
,3,Comunicaciones,Excursionistas,1,1
,3,Camioneros,Real Pilar,0,1
,4,Deportivo Laferrere,Brown de Adrogué,0,1
,4,Villa San Carlos,Sportivo Italiano,0,1
,4,Talleres RE,Deportivo Armenio,2,1
,4,Argentino Merlo,Flandria,2,0
,4,San Martín Burzaco,Ituzaingó,3,0
,4,Arsenal de Sarandí,Argentino Quilmes,0,1
,4,Villa Dalmine,Comunicaciones,0,0
,4,UAI Urquiza,Sportivo Dock Sud,0,0
,4,Liniers,Camioneros,0,2
,4,Excursionistas,Defensores Unidos,1,0
,4,Real Pilar,Deportivo Merlo,1,3
,5,Camioneros,Villa San Carlos,3,0
,5,Sportivo Dock Sud,Real Pilar,2,0
,5,Flandria,Arsenal de Sarandí,0,0
,5,Deportivo Armenio,Argentino Merlo,2,0
,5,Deportivo Merlo,Liniers,0,0
,5,Comunicaciones,UAI Urquiza,3,0
,5,Brown de Adrogué,Talleres RE,1,2
,5,Ituzaingó,Deportivo Laferrere,0,2
,5,Sportivo Italiano,San Martín Burzaco,1,2
,5,Defensores Unidos,Villa Dalmine,2,1
,5,Argentino Quilmes,Excursionistas,2,2
,6,Argentino Merlo,Brown de Adrogué,0,0
,6,Arsenal de Sarandí,Deportivo Armenio,2,1
,6,Villa San Carlos,Deportivo Merlo,1,1
,6,Excursionistas,Flandria,2,0
,6,Talleres RE,Deportivo Laferrere,2,0
,6,Villa Dalmine,Argentino Quilmes,1,1
,6,UAI Urquiza,Defensores Unidos,2,2
,6,Liniers,Sportivo Dock Sud,3,2
,6,Sportivo Italiano,Ituzaingó,0,0
,6,San Martín Burzaco,Camioneros,0,0
,6,Real Pilar,Comunicaciones,2,0
,7,Ituzaingó,Talleres RE,0,0
,7,Defensores Unidos,Real Pilar,1,2
,7,Flandria,Villa Dalmine,0,1
,7,Brown de Adrogué,Arsenal de Sarandí,0,4
,7,Deportivo Armenio,Excursionistas,0,2
,7,Deportivo Merlo,San Martín Burzaco,0,4
,7,Camioneros,Sportivo Italiano,2,1
,7,Argentino Quilmes,UAI Urquiza,1,1
,7,Deportivo Laferrere,Argentino Merlo,1,3
