ronda,llave,equipo_local,equipo_visitante,goles_local,goles_visitante,ganador
32avos,1,San Lorenzo,Deportivo Rincón,5,0,San Lorenzo
32avos,2,Deportivo Riestra,Deportivo Maipú,1,0,Deportivo Riestra
32avos,3,Newell's Old Boys,Acassuso,0,2,Acassuso
32avos,4,Gimnasia La Plata,Camioneros,4,1,Gimnasia La Plata
32avos,5,Banfield,Real Pilar,3,0,Banfield
32avos,6,Estudiantes RC,San Martín Tucumán,0,0,San Martín Tucumán
32avos,7,Godoy Cruz,Deportivo Morón,0,1,Deportivo Morón
32avos,8,Argentinos Juniors,Midland,1,1,Midland
32avos,9,Racing Club,San Martín de Formosa,1,0,Racing Club
32avos,10,Defensa y Justicia,Chaco For Ever,2,1,Defensa y Justicia
32avos,11,Central Córdoba SdE,Gimnasia de Jujuy,2,2,Gimnasia de Jujuy
32avos,12,Belgrano,Atlético Rafaela,3,0,Belgrano
32avos,13,Vélez Sarsfield,Deportivo Armenio,4,1,Vélez Sarsfield
32avos,14,Gimnasia de Mendoza,Gimnasia y Tiro,0,0,Gimnasia y Tiro
32avos,15,Sarmiento Junín,Tristan Suárez,1,0,Sarmiento Junín
32avos,16,Boca Juniors,Gimnasia y Esgrima (Chivilcoy),2,0,Boca Juniors
32avos,17,River Plate,Ciudad De Bolivar,1,0,River Plate
32avos,18,Aldosivi,San Miguel,3,0,Aldosivi
32avos,19,Independiente Rivadavia,Estudiantes,2,0,Independiente Rivadavia
32avos,20,Tigre,Claypole,2,0,Tigre
32avos,21,Talleres de Córdoba,Argentino Merlo,2,0,Talleres de Córdoba
32avos,22,Atlético Tucumán,Sportivo Barracas,2,1,Atlético Tucumán
32avos,23,Unión de Santa Fe,Agropecuario,2,0,Unión de Santa Fe
32avos,24,Independiente,Atenas Río Cuarto,4,2,Independiente
32avos,25,Platense,Argentino Monte Maíz,1,0,Platense
32avos,26,San Martín San Juan,Deportivo Madryn,2,0,San Martín San Juan
32avos,27,Instituto,Atlanta,2,0,Instituto
32avos,28,Lanús,Sarmiento De La Banda,4,1,Lanús
32avos,29,Estudiantes de La Plata,Ituzaingó,4,0,Estudiantes de La Plata
32avos,30,Rosario Central,Sportivo Belgrano,2,0,Rosario Central
32avos,31,Barracas Central,Temperley,2,2,Barracas Central
32avos,32,Huracán,Olimpo,2,1,Huracán
16avos,1,San Lorenzo,Deportivo Riestra,,,
16avos,2,Acassuso,Gimnasia La Plata,0,3,Gimnasia La Plata
16avos,3,Banfield,San Martín Tucumán,1,1,Banfield
16avos,4,Deportivo Morón,Midland,1,2,Midland
16avos,5,Racing Club,Defensa y Justicia,,,
16avos,6,Gimnasia de Jujuy,Belgrano,2,2,Belgrano
16avos,7,Vélez Sarsfield,Gimnasia y Tiro,2,0,Vélez Sarsfield
16avos,8,Sarmiento Junín,Boca Juniors,,,
16avos,9,River Plate,Aldosivi,,,
16avos,10,Independiente Rivadavia,Tigre,,,
16avos,11,Talleres de Córdoba,Atlético Tucumán,0,3,Atlético Tucumán
16avos,12,Unión de Santa Fe,Independiente,0,2,Independiente
16avos,13,Platense,San Martín San Juan,0,0,Platense
16avos,14,Instituto,Lanús,2,1,Instituto
16avos,15,Estudiantes de La Plata,Rosario Central,3,0,Estudiantes de La Plata
16avos,16,Barracas Central,Huracán,1,0,Barracas Central
