fecha,jornada,equipo_local,equipo_visitante
,19,Estudiantes (Caseros),Racing (Cba)
,19,CA Mitre,All Boys
,19,Alte. Brown,Los Andes
,19,Bolivar,Godoy Cruz
,19,Defensores,Morón
,19,Dep. Madryn,Colón
,19,Central Norte,San Miguel
,19,Ferro,San Telmo
,19,Chaco For Ever,Acassuso
,19,Midland,Gimnasia (J)
,19,Quilmes,Atlanta
,19,Colegiales,Gimnasia y Tiro
,19,Patronato,San Martín (T)
,19,Almagro,Atlético Rafaela
,19,Maipú,Agropecuario
,19,Temperley,Tristan Suárez
,19,Chicago,Güemes
,19,San Martín,Chacarita
,20,Racing (Cba),Acassuso
,20,San Telmo,Chaco For Ever
,20,San Miguel,Ferro
,20,Colón,Central Norte
,20,Morón,Dep. Madryn
,20,Godoy Cruz,Defensores
,20,Los Andes,Bolivar
,20,All Boys,Alte. Brown
,20,Estudiantes (Caseros),CA Mitre
,20,Gimnasia (J),Chacarita
,20,Güemes,San Martín
,20,Tristan Suárez,Chicago
,20,Agropecuario,Temperley
,20,Atlético Rafaela,Maipú
,20,San Martín (T),Almagro
,20,Gimnasia y Tiro,Patronato
,20,Atlanta,Colegiales
,20,Midland,Quilmes
,21,CA Mitre,Racing (Cba)
,21,Alte. Brown,Estudiantes (Caseros)
,21,Bolivar,All Boys
,21,Defensores,Los Andes
,21,Dep. Madryn,Godoy Cruz
,21,Central Norte,Morón
,21,Ferro,Colón
,21,Chaco For Ever,San Miguel
,21,Acassuso,San Telmo
,21,Quilmes,Gimnasia (J)
,21,Colegiales,Midland
,21,Patronato,Atlanta
,21,Almagro,Gimnasia y Tiro
,21,Maipú,San Martín (T)
,21,Temperley,Atlético Rafaela
,21,Chicago,Agropecuario
,21,San Martín,Tristan Suárez
,21,Chacarita,Güemes
,22,Racing (Cba),San Telmo
,22,San Miguel,Acassuso
,22,Colón,Chaco For Ever
,22,Morón,Ferro
,22,Godoy Cruz,Central Norte
,22,Los Andes,Dep. Madryn
,22,All Boys,Defensores
,22,Estudiantes (Caseros),Bolivar
,22,CA Mitre,Alte. Brown
,22,Gimnasia (J),Güemes
,22,Tristan Suárez,Chacarita
,22,Agropecuario,San Martín
,22,Atlético Rafaela,Chicago
,22,San Martín (T),Temperley
,22,Gimnasia y Tiro,Maipú
,22,Atlanta,Almagro
,22,Midland,Patronato
,22,Quilmes,Colegiales
,23,Alte. Brown,Racing (Cba)
,23,Bolivar,CA Mitre
,23,Defensores,Estudiantes (Caseros)
,23,Dep. Madryn,All Boys
,23,Central Norte,Los Andes
,23,Ferro,Godoy Cruz
,23,Chaco For Ever,Morón
,23,Acassuso,Colón
,23,San Telmo,San Miguel
,23,Colegiales,Gimnasia (J)
,23,Patronato,Quilmes
,23,Almagro,Midland
,23,Maipú,Atlanta
,23,Temperley,Gimnasia y Tiro
,23,Chicago,San Martín (T)
,23,San Martín,Atlético Rafaela
,23,Chacarita,Agropecuario
,23,Güemes,Tristan Suárez
,24,Racing (Cba),San Miguel
,24,Colón,San Telmo
,24,Morón,Acassuso
,24,Godoy Cruz,Chaco For Ever
,24,Los Andes,Ferro
,24,All Boys,Central Norte
,24,Estudiantes (Caseros),Dep. Madryn
,24,CA Mitre,Defensores
,24,Alte. Brown,Bolivar
,24,Gimnasia (J),Tristan Suárez
,24,Agropecuario,Güemes
,24,Atlético Rafaela,Chacarita
,24,San Martín (T),San Martín
,24,Gimnasia y Tiro,Chicago
,24,Atlanta,Temperley
,24,Midland,Maipú
,24,Quilmes,Almagro
,24,Colegiales,Patronato
,25,All Boys,Chicago
,25,Ferro,Atlanta
,25,San Martín (T),Dep. Madryn
,25,Gimnasia (J),Chaco For Ever
,25,Morón,Almagro
,25,Estudiantes (Caseros),Chacarita
,25,Racing (Cba),San Martín
,25,Temperley,Los Andes
,25,CA Mitre,Güemes
,25,Tristan Suárez,Alte. Brown
,25,Agropecuario,Bolivar
,25,Colón,Patronato
,25,Central Norte,Gimnasia y Tiro
,25,Godoy Cruz,Maipú
,25,Quilmes,San Telmo
,25,San Miguel,Colegiales
,25,Atlético Rafaela,Defensores
,25,Acassuso,Midland
,26,Bolivar,Racing (Cba)
,26,Defensores,Alte. Brown
,26,Dep. Madryn,CA Mitre
,26,Central Norte,Estudiantes (Caseros)
,26,Ferro,All Boys
