fecha,jornada,equipo_local,equipo_visitante
,23,Camioneros,UAI Urquiza
,23,Ituzaingó,Villa San Carlos
,23,Flandria,Deportivo Laferrere
,23,Sportivo Dock Sud,Excursionistas
,23,Deportivo Merlo,Villa Dalmine
,23,Comunicaciones,Arsenal de Sarandí
,23,Deportivo Armenio,Brown de Adrogué
,23,Argentino Quilmes,Talleres RE
,23,Sportivo Italiano,Real Pilar
,23,Defensores Unidos,Argentino Merlo
,23,San Martín Burzaco,Liniers
,24,Villa San Carlos,San Martín Burzaco
,24,Liniers,Sportivo Italiano
,24,UAI Urquiza,Deportivo Merlo
,24,Villa Dalmine,Sportivo Dock Sud
,24,Real Pilar,Camioneros
,24,Excursionistas,Comunicaciones
,24,Arsenal de Sarandí,Defensores Unidos
,24,Talleres RE,Flandria
,24,Argentino Merlo,Argentino Quilmes
,24,Deportivo Laferrere,Deportivo Armenio
,24,Brown de Adrogué,Ituzaingó
,25,Brown de Adrogué,Deportivo Laferrere
,25,Deportivo Armenio,Talleres RE
,25,Argentino Quilmes,Arsenal de Sarandí
,25,Defensores Unidos,Excursionistas
,25,Flandria,Argentino Merlo
,25,Comunicaciones,Villa Dalmine
,25,Sportivo Dock Sud,UAI Urquiza
,25,Deportivo Merlo,Real Pilar
,25,Camioneros,Liniers
,25,Sportivo Italiano,Villa San Carlos
,25,Ituzaingó,San Martín Burzaco
,26,San Martín Burzaco,Sportivo Italiano
,26,Villa San Carlos,Camioneros
,26,Liniers,Deportivo Merlo
,26,Real Pilar,Sportivo Dock Sud
,26,UAI Urquiza,Comunicaciones
,26,Villa Dalmine,Defensores Unidos
,26,Excursionistas,Argentino Quilmes
,26,Arsenal de Sarandí,Flandria
,26,Argentino Merlo,Deportivo Armenio
,26,Talleres RE,Brown de Adrogué
,26,Deportivo Laferrere,Ituzaingó
,27,Deportivo Laferrere,Talleres RE
,27,Brown de Adrogué,Argentino Merlo
,27,Deportivo Armenio,Arsenal de Sarandí
,27,Flandria,Excursionistas
,27,Argentino Quilmes,Villa Dalmine
,27,Defensores Unidos,UAI Urquiza
,27,Sportivo Dock Sud,Liniers
,27,Comunicaciones,Real Pilar
,27,Deportivo Merlo,Villa San Carlos
,27,Camioneros,San Martín Burzaco
,27,Ituzaingó,Sportivo Italiano
,28,Sportivo Italiano,Camioneros
,28,San Martín Burzaco,Deportivo Merlo
,28,Liniers,Comunicaciones
,28,Villa San Carlos,Sportivo Dock Sud
,28,Real Pilar,Defensores Unidos
,28,UAI Urquiza,Argentino Quilmes
,28,Villa Dalmine,Flandria
,28,Excursionistas,Deportivo Armenio
,28,Arsenal de Sarandí,Brown de Adrogué
,28,Argentino Merlo,Deportivo Laferrere
,28,Talleres RE,Ituzaingó
,29,Talleres RE,Argentino Merlo
,29,Deportivo Laferrere,Arsenal de Sarandí
,29,Brown de Adrogué,Excursionistas
,29,Deportivo Armenio,Villa Dalmine
,29,Flandria,UAI Urquiza
,29,Argentino Quilmes,Real Pilar
,29,Defensores Unidos,Liniers
,29,Comunicaciones,Villa San Carlos
,29,Sportivo Dock Sud,San Martín Burzaco
,29,Deportivo Merlo,Sportivo Italiano
,29,Ituzaingó,Camioneros
,30,Camioneros,Deportivo Merlo
,30,Sportivo Italiano,Sportivo Dock Sud
,30,Villa San Carlos,Defensores Unidos
,30,San Martín Burzaco,Comunicaciones
,30,Liniers,Argentino Quilmes
,30,Real Pilar,Flandria
,30,UAI Urquiza,Deportivo Armenio
,30,Villa Dalmine,Brown de Adrogué
,30,Excursionistas,Deportivo Laferrere
,30,Arsenal de Sarandí,Talleres RE
,30,Argentino Merlo,Ituzaingó
,31,Talleres RE,Excursionistas
,31,Argentino Merlo,Arsenal de Sarandí
,31,Deportivo Laferrere,Villa Dalmine
,31,Brown de Adrogué,UAI Urquiza
,31,Flandria,Liniers
,31,Argentino Quilmes,Villa San Carlos
,31,Deportivo Armenio,Real Pilar
,31,Defensores Unidos,San Martín Burzaco
,31,Comunicaciones,Sportivo Italiano
