fecha,jornada,equipo_local,equipo_visitante
,1,Athletico Paranaense,Vitória
,1,Atlético Mineiro,Vasco da Gama
,1,Bahia,São Paulo
,1,Botafogo,Santos
,1,Chapecoense,Remo
,1,Corinthians,Red Bull Bragantino
,1,Coritiba,Palmeiras
,1,Cruzeiro,Mirassol
,1,Flamengo,Internacional
,1,Fluminense,Grêmio
,2,Vasco da Gama,Athletico Paranaense
,2,São Paulo,Vitória
,2,Santos,Atlético Mineiro
,2,Remo,Bahia
,2,Red Bull Bragantino,Botafogo
,2,Palmeiras,Chapecoense
,2,Mirassol,Corinthians
,2,Internacional,Coritiba
,2,Grêmio,Cruzeiro
,2,Fluminense,Flamengo
,3,Athletico Paranaense,São Paulo
,3,Vasco da Gama,Santos
,3,Vitória,Remo
,3,Atlético Mineiro,Red Bull Bragantino
,3,Bahia,Palmeiras
,3,Botafogo,Mirassol
,3,Chapecoense,Internacional
,3,Corinthians,Grêmio
,3,Coritiba,Fluminense
,3,Cruzeiro,Flamengo
,4,Santos,Athletico Paranaense
,4,Remo,São Paulo
,4,Red Bull Bragantino,Vasco da Gama
,4,Palmeiras,Vitória
,4,Mirassol,Atlético Mineiro
,4,Internacional,Bahia
,4,Grêmio,Botafogo
,4,Fluminense,Chapecoense
,4,Flamengo,Corinthians
,4,Cruzeiro,Coritiba
,5,Athletico Paranaense,Remo
,5,Santos,Red Bull Bragantino
,5,São Paulo,Palmeiras
,5,Vasco da Gama,Mirassol
,5,Vitória,Internacional
,5,Atlético Mineiro,Grêmio
,5,Bahia,Fluminense
,5,Botafogo,Flamengo
,5,Chapecoense,Cruzeiro
,5,Corinthians,Coritiba
,6,Red Bull Bragantino,Athletico Paranaense
,6,Palmeiras,Remo
,6,Mirassol,Santos
,6,Internacional,São Paulo
,6,Grêmio,Vasco da Gama
,6,Fluminense,Vitória
,6,Flamengo,Atlético Mineiro
,6,Cruzeiro,Bahia
,6,Coritiba,Botafogo
,6,Corinthians,Chapecoense
,7,Athletico Paranaense,Palmeiras
,7,Red Bull Bragantino,Mirassol
,7,Remo,Internacional
,7,Santos,Grêmio
,7,São Paulo,Fluminense
,7,Vasco da Gama,Flamengo
,7,Vitória,Cruzeiro
,7,Atlético Mineiro,Coritiba
,7,Bahia,Corinthians
,7,Botafogo,Chapecoense
,8,Mirassol,Athletico Paranaense
,8,Internacional,Palmeiras
,8,Grêmio,Red Bull Bragantino
,8,Fluminense,Remo
,8,Flamengo,Santos
,8,Cruzeiro,São Paulo
,8,Coritiba,Vasco da Gama
,8,Corinthians,Vitória
,8,Chapecoense,Atlético Mineiro
,8,Botafogo,Bahia
,9,Athletico Paranaense,Internacional
,9,Mirassol,Grêmio
,9,Palmeiras,Fluminense
,9,Red Bull Bragantino,Flamengo
,9,Remo,Cruzeiro
,9,Santos,Coritiba
,9,São Paulo,Corinthians
,9,Vasco da Gama,Chapecoense
,9,Vitória,Botafogo
,9,Atlético Mineiro,Bahia
,10,Grêmio,Athletico Paranaense
,10,Fluminense,Internacional
,10,Flamengo,Mirassol
,10,Cruzeiro,Palmeiras
,10,Coritiba,Red Bull Bragantino
,10,Corinthians,Remo
,10,Chapecoense,Santos
,10,Botafogo,São Paulo
,10,Bahia,Vasco da Gama
,10,Atlético Mineiro,Vitória
,11,Athletico Paranaense,Fluminense
,11,Grêmio,Flamengo
,11,Internacional,Cruzeiro
,11,Mirassol,Coritiba
,11,Palmeiras,Corinthians
,11,Red Bull Bragantino,Chapecoense
,11,Remo,Botafogo
,11,Santos,Bahia
,11,São Paulo,Atlético Mineiro
,11,Vasco da Gama,Vitória
,12,Flamengo,Athletico Paranaense
,12,Cruzeiro,Fluminense
,12,Coritiba,Grêmio
,12,Corinthians,Internacional
,12,Chapecoense,Mirassol
,12,Botafogo,Palmeiras
,12,Bahia,Red Bull Bragantino
,12,Atlético Mineiro,Remo
,12,Vitória,Santos
,12,Vasco da Gama,São Paulo
,13,Athletico Paranaense,Cruzeiro
,13,Flamengo,Coritiba
,13,Fluminense,Corinthians
,13,Grêmio,Chapecoense
,13,Internacional,Botafogo
,13,Mirassol,Bahia
,13,Palmeiras,Atlético Mineiro
,13,Red Bull Bragantino,Vitória
,13,Remo,Vasco da Gama
,13,Santos,São Paulo
,14,Coritiba,Athletico Paranaense
,14,Corinthians,Cruzeiro
,14,Chapecoense,Flamengo
,14,Botafogo,Fluminense
,14,Bahia,Grêmio
,14,Atlético Mineiro,Internacional
,14,Vitória,Mirassol
,14,Vasco da Gama,Palmeiras
,14,São Paulo,Red Bull Bragantino
,14,Santos,Remo
,15,Athletico Paranaense,Corinthians
,15,Coritiba,Chapecoense
,15,Cruzeiro,Botafogo
,15,Flamengo,Bahia
,15,Fluminense,Atlético Mineiro
,15,Grêmio,Vitória
,15,Internacional,Vasco da Gama
,15,Mirassol,São Paulo
,15,Palmeiras,Santos
,15,Red Bull Bragantino,Remo
,16,Chapecoense,Athletico Paranaense
,16,Botafogo,Corinthians
,16,Bahia,Coritiba
,16,Atlético Mineiro,Cruzeiro
,16,Vitória,Flamengo
,16,Vasco da Gama,Fluminense
,16,São Paulo,Grêmio
,16,Santos,Internacional
,16,Remo,Mirassol
