fecha,jornada,equipo_local,equipo_visitante
,1,Deportivo Riestra,Boca Juniors
,1,Estudiantes de La Plata,Independiente
,1,Newell's Old Boys,Talleres de Córdoba
,1,Vélez Sarsfield,Instituto
,1,Platense,Unión de Santa Fe
,1,Lanús,San Lorenzo
,1,Gimnasia de Mendoza,Central Córdoba SdE
,1,River Plate,Barracas Central
,1,Racing Club,Gimnasia La Plata
,1,Belgrano,Rosario Central
,1,Estudiantes RC,Tigre
,1,Sarmiento Junín,Argentinos Juniors
,1,Huracán,Banfield
,1,Atlético Tucumán,Independiente Rivadavia
,1,Defensa y Justicia,Aldosivi
,2,San Lorenzo,Gimnasia de Mendoza
,2,Unión de Santa Fe,Lanús
,2,Instituto,Platense
,2,Talleres de Córdoba,Vélez Sarsfield
,2,Independiente,Newell's Old Boys
,2,Boca Juniors,Estudiantes de La Plata
,2,Defensa y Justicia,Deportivo Riestra
,2,Independiente Rivadavia,Huracán
,2,Banfield,Sarmiento Junín
,2,Argentinos Juniors,Estudiantes RC
,2,Tigre,Belgrano
,2,Rosario Central,Racing Club
,2,Gimnasia La Plata,River Plate
,2,Barracas Central,Aldosivi
,2,Central Córdoba SdE,Atlético Tucumán
,3,Estudiantes de La Plata,Defensa y Justicia
,3,Newell's Old Boys,Boca Juniors
,3,Vélez Sarsfield,Independiente
,3,Platense,Talleres de Córdoba
,3,Lanús,Instituto
,3,Gimnasia de Mendoza,Unión de Santa Fe
,3,Central Córdoba SdE,San Lorenzo
,3,Aldosivi,Gimnasia La Plata
,3,River Plate,Rosario Central
,3,Racing Club,Tigre
,3,Belgrano,Argentinos Juniors
,3,Estudiantes RC,Banfield
,3,Sarmiento Junín,Independiente Rivadavia
,3,Huracán,Atlético Tucumán
,3,Deportivo Riestra,Barracas Central
,4,Unión de Santa Fe,Central Córdoba SdE
,4,Instituto,Gimnasia de Mendoza
,4,Talleres de Córdoba,Lanús
,4,Independiente,Platense
,4,Boca Juniors,Vélez Sarsfield
,4,Defensa y Justicia,Newell's Old Boys
,4,Deportivo Riestra,Estudiantes de La Plata
,4,Atlético Tucumán,Sarmiento Junín
,4,Independiente Rivadavia,Estudiantes RC
,4,Banfield,Belgrano
,4,Argentinos Juniors,Racing Club
,4,Tigre,River Plate
,4,Rosario Central,Aldosivi
,4,Gimnasia La Plata,Barracas Central
,4,San Lorenzo,Huracán
,5,Newell's Old Boys,Deportivo Riestra
,5,Vélez Sarsfield,Defensa y Justicia
,5,Platense,Boca Juniors
,5,Lanús,Independiente
,5,Gimnasia de Mendoza,Talleres de Córdoba
,5,Central Córdoba SdE,Instituto
,5,San Lorenzo,Unión de Santa Fe
,5,Barracas Central,Rosario Central
,5,Aldosivi,Tigre
,5,River Plate,Argentinos Juniors
,5,Racing Club,Banfield
,5,Belgrano,Independiente Rivadavia
,5,Estudiantes RC,Atlético Tucumán
,5,Sarmiento Junín,Huracán
,5,Estudiantes de La Plata,Gimnasia La Plata
,6,River Plate,Vélez Sarsfield
,6,Barracas Central,Platense
,6,Talleres de Córdoba,Rosario Central
