equipo,puntos_historicos,partidos_historicos
Boca Juniors,129,73
River Plate,123,73
Vélez Sarsfield,116,73
Racing Club,123,73
Argentinos Juniors,113,73
Rosario Central,113,73
Estudiantes de La Plata,105,73
Independiente,110,73
Lanús,109,73
Talleres de Córdoba,106,73
Huracán,109,73
Independiente Rivadavia,89,73
Unión de Santa Fe,99,73
Barracas Central,98,73
San Lorenzo,96,73
Defensa y Justicia,96,73
Belgrano,86,73
Gimnasia La Plata,86,73
Deportivo Riestra,100,73
Instituto,87,73
Tigre,88,73
Platense,92,73
Gimnasia de Mendoza,0,0
Central Córdoba SdE,84,73
Atlético Tucumán,84,73
Newell's Old Boys,82,73
Banfield,76,73
Sarmiento Junín,70,73
Aldosivi,33,32
Estudiantes RC,0,0
