fecha,jornada,equipo_local,equipo_visitante,goles_local,goles_visitante
,1,San Miguel,Central Norte,1,0
,1,Atlético Rafaela,Almagro,0,0
,1,Godoy Cruz,Bolivar,1,1
,1,Gimnasia y Tiro,Colegiales,2,1
,1,Acassuso,Chaco For Ever,2,0
,1,All Boys,CA Mitre,2,1
,1,Morón,Defensores,1,1
,1,San Telmo,Ferro,0,2
,1,Agropecuario,Maipú,2,1
,1,Tristan Suárez,Temperley,0,0
,1,Colón,Dep. Madryn,2,1
,1,Chacarita,San Martín,1,1
,1,Güemes,Chicago,0,1
,1,Los Andes,Alte. Brown,0,0
,1,Racing (Cba),Estudiantes,1,0
,1,San Martín (T),Patronato,0,0
,1,Atlanta,Quilmes,1,0
,1,Gimnasia (J),Midland,2,1
,2,Acassuso,Racing (Cba),3,0
,2,Almagro,San Martín (T),0,1
,2,Chicago,Tristan Suárez,0,0
,2,Ferro,San Miguel,1,1
,2,Dep. Madryn,Morón,1,1
,2,Maipú,Atlético Rafaela,2,1
,2,Patronato,Gimnasia y Tiro,1,2
,2,Quilmes,Midland,0,0
,2,San Martín,Güemes,2,1
,2,Chaco For Ever,San Telmo,2,2
,2,Defensores,Godoy Cruz,1,1
,2,Alte. Brown,All Boys,2,1
,2,Bolivar,Los Andes,1,1
,2,Chacarita,Gimnasia (J),3,1
,2,Central Norte,Colón,0,0
,2,Colegiales,Atlanta,1,0
,2,CA Mitre,Estudiantes,1,0
,3,Gimnasia y Tiro,Almagro,2,0
,3,Los Andes,Defensores,0,1
,3,San Miguel,Chaco For Ever,2,0
,3,Colón,Ferro,1,1
,3,Agropecuario,Chicago,0,2
,3,All Boys,Bolivar,0,0
,3,Godoy Cruz,Dep. Madryn,0,0
,3,Morón,Central Norte,2,0
,3,San Telmo,Acassuso,2,3
,3,Gimnasia (J),Quilmes,1,0
,3,Midland,Colegiales,2,0
,3,Güemes,Chacarita,2,1
,3,San Martín (T),Maipú,2,2
,3,Racing (Cba),CA Mitre,0,0
,3,Estudiantes,Alte. Brown,0,1
,3,Atlético Rafaela,Temperley,1,0
,3,Tristan Suárez,San Martín,2,1
,3,Atlanta,Patronato,0,0
,5,Racing (Cba),Alte. Brown,2,1
,5,Atlético Rafaela,San Martín,1,0
,5,Los Andes,Central Norte,0,0
,5,Estudiantes,Defensores,0,2
,5,All Boys,Dep. Madryn,1,0
,5,Morón,Chaco For Ever,3,2
,5,San Miguel,San Telmo,1,1
,5,Godoy Cruz,Ferro,2,1
,5,Tristan Suárez,Güemes,1,1
,5,Quilmes,Patronato,3,0
,5,Colón,Acassuso,1,0
,5,Midland,Almagro,2,2
,5,Gimnasia y Tiro,Temperley,0,0
,5,Agropecuario,Chacarita,2,0
,5,CA Mitre,Bolivar,1,1
,5,Gimnasia (J),Colegiales,2,1
,5,San Martín (T),Chicago,2,0
,5,Atlanta,Maipú,3,1
,6,San Martín,San Martín (T),1,1
,6,Almagro,Quilmes,1,0
,6,San Miguel,Racing (Cba),1,2
,6,Acassuso,Morón,0,3
,6,Defensores,CA Mitre,0,0
,6,Bolivar,Alte. Brown,0,0
,6,Dep. Madryn,Estudiantes,3,0
,6,Ferro,Los Andes,0,2
,6,Tristan Suárez,Gimnasia (J),3,0
,6,Chaco For Ever,Godoy Cruz,1,1
,6,San Telmo,Colón,3,1
,6,Chacarita,Atlético Rafaela,0,1
,6,Temperley,Atlanta,2,1
,6,Patronato,Colegiales,2,0
,6,Central Norte,All Boys,1,0
,6,Güemes,Agropecuario,1,1
,6,Maipú,Midland,0,1
,6,Chicago,Gimnasia y Tiro,3,1
,7,Atlanta,Ferro,0,1
,7,Almagro,Morón,2,0
,7,Alte. Brown,Tristan Suárez,0,1
,7,Colegiales,San Miguel,0,0
,7,Los Andes,Temperley,0,1
,7,Chicago,All Boys,0,0
,7,Chacarita,Estudiantes,0,3
,7,Dep. Madryn,San Martín (T),1,1
,7,Patronato,Colón,0,2
,7,San Telmo,Quilmes,0,3
,7,Maipú,Godoy Cruz,0,1
,7,Güemes,CA Mitre,2,2
,7,Gimnasia y Tiro,Central Norte,0,1
,7,Defensores,Atlético Rafaela,1,1
