ronda,llave,equipo_ida_local,equipo_vuelta_local,goles_ida_local,goles_ida_visitante,goles_vuelta_local,goles_vuelta_visitante,ganador
playoffs,1,Bolívar,Grêmio,3,2,,,
playoffs,2,Sporting Cristal,Red Bull Bragantino,0,0,,,
playoffs,3,Independiente Medellín,Vasco da Gama,2,2,,,
playoffs,4,Boca Juniors,O'Higgins,1,0,,,
playoffs,5,Nacional (Uruguay),Tigre,0,3,,,
playoffs,6,Independiente Santa Fe,Caracas FC,2,0,,,
playoffs,7,Lanús,Cienciano,2,0,,,
playoffs,8,Universidad Central de Venezuela,Santos,1,4,,,
octavos,1,,São Paulo,,,,,
octavos,2,,Atlético Mineiro,,,,,
octavos,3,,Olimpia,,,,,
octavos,4,,Recoleta FC,,,,,
octavos,5,,Montevideo City Torque,,,,,
octavos,6,,River Plate,,,,,
octavos,7,,Botafogo,,,,,
octavos,8,,Macará,,,,,
cuartos,1,,,,,,,
cuartos,2,,,,,,,
cuartos,3,,,,,,,
cuartos,4,,,,,,,
semis,1,,,,,,,
semis,2,,,,,,,
final,1,,,,,,,
