zona,posicion,equipo,partidos_jugados,ganados,empatados,perdidos,gf,gc,dg,puntos
Unica,1,Excursionistas,22,13,6,3,33,12,21,45
Unica,2,Talleres RE,22,12,6,4,23,10,13,42
Unica,3,Arsenal de Sarandí,22,11,8,3,31,16,15,41
Unica,4,Villa Dalmine,22,11,7,4,26,12,14,40
Unica,5,Camioneros,22,10,8,4,23,15,8,38
Unica,6,Sportivo Italiano,22,9,7,6,22,19,3,34
Unica,7,Real Pilar,22,9,6,7,24,23,1,33
Unica,8,Comunicaciones,22,8,7,7,25,23,2,31
Unica,9,Deportivo Armenio,22,9,4,9,25,27,-2,31
Unica,10,Deportivo Merlo,22,8,7,7,26,33,-7,31
Unica,11,San Martín Burzaco,22,7,9,6,22,19,3,30
Unica,12,Argentino Merlo,22,8,6,8,20,20,0,30
Unica,13,Deportivo Laferrere,22,7,7,8,23,28,-5,28
Unica,14,Argentino Quilmes,22,6,9,7,24,22,2,27
Unica,15,Liniers,22,6,7,9,15,22,-7,25
Unica,16,Sportivo Dock Sud,22,5,9,8,21,21,0,24
Unica,17,Defensores Unidos,22,5,8,9,18,23,-5,23
Unica,18,UAI Urquiza,22,3,13,6,12,16,-4,22
Unica,19,Flandria,22,6,4,12,17,28,-11,22
Unica,20,Brown de Adrogué,22,5,7,10,16,27,-11,22
Unica,21,Villa San Carlos,22,3,9,10,21,29,-8,18
Unica,22,Ituzaingó,22,1,6,15,16,38,-22,9
