zona,posicion,equipo,partidos_jugados,ganados,empatados,perdidos,gf,gc,dg,puntos
Unica,1,Athletico Paranaense,0,0,0,0,0,0,0,0
Unica,2,Atlético Mineiro,0,0,0,0,0,0,0,0
Unica,3,Bahia,0,0,0,0,0,0,0,0
Unica,4,Botafogo,0,0,0,0,0,0,0,0
Unica,5,Chapecoense,0,0,0,0,0,0,0,0
Unica,6,Corinthians,0,0,0,0,0,0,0,0
Unica,7,Coritiba,0,0,0,0,0,0,0,0
Unica,8,Cruzeiro,0,0,0,0,0,0,0,0
Unica,9,Flamengo,0,0,0,0,0,0,0,0
Unica,10,Fluminense,0,0,0,0,0,0,0,0
Unica,11,Grêmio,0,0,0,0,0,0,0,0
Unica,12,Internacional,0,0,0,0,0,0,0,0
Unica,13,Mirassol,0,0,0,0,0,0,0,0
Unica,14,Palmeiras,0,0,0,0,0,0,0,0
Unica,15,Red Bull Bragantino,0,0,0,0,0,0,0,0
Unica,16,Remo,0,0,0,0,0,0,0,0
Unica,17,Santos,0,0,0,0,0,0,0,0
Unica,18,São Paulo,0,0,0,0,0,0,0,0
Unica,19,Vasco da Gama,0,0,0,0,0,0,0,0
Unica,20,Vitória,0,0,0,0,0,0,0,0
