zona,posicion,equipo,partidos_jugados,ganados,empatados,perdidos,gf,gc,dg,puntos
1,1,Sportivo Belgrano,15,7,6,2,18,6,12,27
1,2,Douglas Haig,15,8,3,4,19,12,7,27
1,3,9 De Julio Rafaela,15,7,4,4,26,20,6,25
1,4,CSCyD Gimnasia y Esgrima (Chivilcoy),15,6,4,5,14,10,4,22
1,5,Defensores Belgrano (VR),15,6,4,5,19,16,3,22
1,6,Sportivo Las Parejas,15,5,6,4,11,12,-1,21
1,7,Independiente Chivilcoy,15,4,5,6,12,18,-6,17
1,8,Atlético Escobar,15,5,2,8,16,25,-9,17
1,9,El Linqueño,15,3,4,8,11,19,-8,13
1,10,Gimnasia de Concepción,15,3,4,8,9,17,-8,13
2,1,San Martín de Formosa,13,8,2,3,24,17,7,26
2,2,Bartolomé Mitre (Posadas),14,6,5,3,12,6,6,23
2,3,Sarmiento De La Banda,13,6,3,4,14,11,3,21
2,4,Sol De América,13,6,2,5,14,10,4,20
2,5,Juventud Antoniana,13,5,3,5,13,10,3,18
2,6,Tucumán Central,13,5,1,7,12,14,-2,16
2,7,Defensores Pto. Vilelas,14,5,1,8,18,25,-7,16
2,8,Boca Unidos de Corrientes,13,4,3,6,15,19,-4,15
2,9,Sarmiento de Resistencia,14,2,6,6,10,20,-10,12
3,1,Cipolletti,14,6,3,5,16,13,3,21
3,2,Atenas Río Cuarto,13,6,3,4,11,10,1,21
3,3,Argentino Monte Maíz,13,5,5,3,13,9,4,20
3,4,Costa Brava (Gral Pico),14,4,6,4,12,10,2,18
3,5,Fundación Amigos por el Deporte,13,3,7,3,14,13,1,16
3,6,Juventud Unida San Luis,14,3,7,4,10,9,1,16
3,7,Deportivo Rincón,13,4,4,5,12,14,-2,16
3,8,Huracán Las Heras,13,4,4,5,8,13,-5,16
3,9,San Martín de Mendoza,13,3,5,5,9,14,-5,14
4,1,Olimpo,13,6,6,1,10,4,6,24
4,2,Alvarado,14,6,5,3,14,7,7,23
4,3,Kimberley Mar Del Plata,14,5,7,2,12,7,5,22
4,4,Villa Mitre,13,4,6,3,8,5,3,18
4,5,Germinal,13,4,6,3,7,6,1,18
4,6,Sol de Mayo,13,4,5,4,10,10,0,17
4,7,Santamarina Tandil,14,2,6,6,9,15,-6,12
4,8,Guillermo Brown,13,2,5,6,10,17,-7,11
4,9,Círculo Deportivo,13,1,6,6,4,13,-9,9
