zona,posicion,equipo,partidos_jugados,ganados,empatados,perdidos,gf,gc,dg,puntos
FaseInicial,1,Aucas,0,0,0,0,0,0,0,0
FaseInicial,2,Barcelona,0,0,0,0,0,0,0,0
FaseInicial,3,Delfín,0,0,0,0,0,0,0,0
FaseInicial,4,Deportivo Cuenca,0,0,0,0,0,0,0,0
FaseInicial,5,Emelec,0,0,0,0,0,0,0,0
FaseInicial,6,Guayaquil City,0,0,0,0,0,0,0,0
FaseInicial,7,Independiente del Valle,0,0,0,0,0,0,0,0
FaseInicial,8,LDU Quito,0,0,0,0,0,0,0,0
FaseInicial,9,Leones,0,0,0,0,0,0,0,0
FaseInicial,10,Libertad,0,0,0,0,0,0,0,0
FaseInicial,11,Macará,0,0,0,0,0,0,0,0
FaseInicial,12,Manta,0,0,0,0,0,0,0,0
FaseInicial,13,Mushuc Runa,0,0,0,0,0,0,0,0
FaseInicial,14,Orense,0,0,0,0,0,0,0,0
FaseInicial,15,Técnico Universitario,0,0,0,0,0,0,0,0
FaseInicial,16,Universidad Católica,0,0,0,0,0,0,0,0
